ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5A481,Business Analysis Intern (BA Intern) / Thực tập sinh Phân tích Doanh nghiệp (Mới),Công ty TNHH Giải pháp Data V Tech,Hồ Chí Minh,Lương: Cạnh tranh,06-10-2025,06-11-2025,https://careerviet.vn/vi/tim-viec-lam/business-analysis-intern-ba-intern-thuc-tap-sinh-phan-tich-doanh-nghiep.35C5A481.html
35C5A481,Business Analysis Intern (BA Intern) / Thực tập sinh Phân tích Doanh nghiệp (Mới),Công ty TNHH Giải pháp Data V Tech,Hồ Chí Minh,Lương: Cạnh tranh,06-10-2025,06-11-2025,https://careerviet.vn/vi/tim-viec-lam/business-analysis-intern-ba-intern-thuc-tap-sinh-phan-tich-doanh-nghiep.35C5A481.html
35C589CE,Executive Assistant (Phu My Hung Cluster - Contract 6-7 months),Savills Vietnam,Hồ Chí Minh,Lương: Cạnh tranh,06-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/executive-assistant-phu-my-hung-cluster-contract-6-7-months.35C589CE.html
35C5A086,NHÂN VIÊN SINH QUẢN PHÒNG MẪU,Công ty TNHH Giày Apache Việt Nam,Tiền Giang,Lương: Cạnh tranh,06-10-2025,03-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sinh-quan-phong-mau.35C5A086.html
35C5A47F,QUẢN LÝ ỨNG DỤNG SẢN PHẨM (LIFESCIENCE PRODUCT APPLICATION MANAGER) (Mới),Công Ty TNHH Biogroup Vietnam,Hồ Chí Minh,Lương: 22 Tr - 40 Tr VND,06-10-2025,06-11-2025,https://careerviet.vn/vi/tim-viec-lam/quan-ly-ung-dung-san-pham-lifescience-product-application-manager.35C5A47F.html
35C5A480,Nhân Viên Kỹ Thuật ( Hải Phòng) (Mới),CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HÓA PHẨM VICO,Hải Phòng,Lương: 9 Tr - 12 Tr VND,06-10-2025,29-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-hai-phong.35C5A480.html
35C5A47D,[LONG AN] QC LINE (Mới),Công Ty Cổ Phần Y&B,Long An Hồ Chí Minh,"Lương: 9,5 Tr - 11 Tr VND",06-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/long-an-qc-line.35C5A47D.html
35C5A47C,Admin Specialist (Mới),CÔNG TY TNHH MINTHACARE,Hồ Chí Minh,Lương: Cạnh tranh,06-10-2025,06-11-2025,https://careerviet.vn/vi/tim-viec-lam/admin-specialist.35C5A47C.html
35C5A47A,CV/CVC/CVCC Vận hành ứng dụng (Mới),Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Hà Nội,Lương: Cạnh tranh,06-10-2025,04-12-2025,https://careerviet.vn/vi/tim-viec-lam/cv-cvc-cvcc-van-hanh-ung-dung.35C5A47A.html
35C5A478,Chuyên viên tuyển dụng (Mới),CÔNG TY CỔ PHẦN NỆM THUẦN VIỆT,Hồ Chí Minh,Lương: 12 Tr - 15 Tr VND,06-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tuyen-dung.35C5A478.html
