ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5B0B5,Chủ quản  kho Nhà máy 2 ( tiếng trung ) (Mới),Công ty TNHH Midea Consumer Electric Vietnam,Bình Dương,Lương: 15 Tr - 20 Tr VND,13-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chu-quan-kho-nha-may-2-tieng-trung.35C5B0B5.html
35C5B0B5,Chủ quản  kho Nhà máy 2 ( tiếng trung ) (Mới),Công ty TNHH Midea Consumer Electric Vietnam,Bình Dương,Lương: 15 Tr - 20 Tr VND,13-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chu-quan-kho-nha-may-2-tieng-trung.35C5B0B5.html
35C5B0B3,SAP Engineer/Executive (Mới),CÔNG TY TNHH HIRA MANUFACTURING,Đồng Nai,Lương: 35 Tr - 40 Tr VND,13-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/sap-engineer-executive.35C5B0B3.html
35C5B098,Chief Operation Officer (COO) - Business Development (Mới),Tập Đoàn Mắt Kính Ánh Rạng,Hồ Chí Minh,Lương: Cạnh tranh,13-10-2025,12-11-2025,https://careerviet.vn/vi/tim-viec-lam/chief-operation-officer-coo-business-development.35C5B098.html
35C58273,NHÂN VIÊN KỸ THUẬT (Mới),CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ HQG,Hà Nội,Lương: 9 Tr - 12 Tr VND,13-10-2025,12-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat.35C58273.html
35C5B0B2,Thực tập sinh nhân sự (Mới),CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,Hà Nội,Lương: Cạnh tranh,13-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-nhan-su.35C5B0B2.html
35C5B0B1,"Tổng đài CSKH Ngân hàng quân đội MB tại Cát Linh,Đống Đa, Hà Nội (Xoay ca).H1 (Mới)",CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 8 Tr - 12 Tr VND,13-10-2025,10-11-2025,https://careerviet.vn/vi/tim-viec-lam/tong-dai-cskh-ngan-hang-quan-doi-mb-tai-cat-linh-dong-da-ha-noi-xoay-ca-h1.35C5B0B1.html
35C5B09A,R&D Engineer/Executive/Technical (Q1 Hồ Chí Minh) (Mới),CareerViet's client,Hồ Chí Minh,Lương: Cạnh tranh,13-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/r-d-engineer-executive-technical-q1-ho-chi-minh.35C5B09A.html
35C5B0AB,"Tổng đài CSKH Ngân hàng quân đội MB tại Cát Linh,Đống Đa, Hà Nội (Xoay ca).H1 (Mới)",CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 8 Tr - 12 Tr VND,13-10-2025,10-11-2025,https://careerviet.vn/vi/tim-viec-lam/tong-dai-cskh-ngan-hang-quan-doi-mb-tai-cat-linh-dong-da-ha-noi-xoay-ca-h1.35C5B0AB.html
35C5B0A7,Chuyên viên Vận hành Khách sạn (Mới),CÔNG TY CỔ PHẦN IFF HOLDINGS,Hà Nội,Lương: 15 Tr - 25 Tr VND,13-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-van-hanh-khach-san.35C5B0A7.html
